id,title,exp
1,서울 숭례문,
2,서울 원각사지 십층석탑,
3,서울 북한산 신라 진흥왕 순수비,
4,여주 고달사지 승탑,
5,보은 법주사 쌍사자 석등,
6,충주 탑평리 칠층석탑,
7,천안 봉선홍경사 갈기비,
8,보령 성주사지 대낭혜화상탑비,
9,부여 정림사지 오층석탑,
10,남원 실상사 백장암 삼층석탑,
11,익산 미륵사지 석탑,
12,구례 화엄사 각황전 앞 석등,
13,강진 무위사 극락보전,
14,영천 거조사 영산전,
15,안동 봉정사 극락전,
16,안동 법흥사지 칠층전탑,
17,영주 부석사 무량수전 앞 석등,
18,영주 부석사 무량수전,
19,영주 부석사 조사당,
20,경주 불국사 다보탑,
21,경주 불국사 삼층석탑,
22,경주 불국사 연화교 및 칠보교,
23,경주 불국사 청운교 및 백운교,
24,경주 석굴암 석굴,
25,경주 태종무열왕릉비,
26,경주 불국사 금동비로자나불좌상,
27,경주 불국사 금동아미타여래좌상,
28,경주 백률사 금동약사여래입상,
29,성덕대왕신종,
30,경주 분황사 모전석탑,
31,경주 첨성대,
32,합천 해인사 대장경판,
33,창녕 신라 진흥왕 척경비,
34,창녕 술정리 동 삼층석탑,
35,구례 화엄사 사사자 삼층석탑,
36,상원사 동종,
37,경주 황복사지 삼층석탑,
38,경주 고선사지 삼층석탑,
39,경주 나원리 오층석탑,
40,경주 정혜사지 십삼층석탑,
41,청주 용두사지 철당간,
42,순천 송광사 목조삼존불감,
43,혜심 고신제서,
44,장흥 보림사 남·북 삼층석탑 및 석등,
45,영주 부석사 소조여래좌상,
46,부석사 조사당 벽화,
47,하동 쌍계사 진감선사탑비,
48,평창 월정사 팔각 구층석탑,
49,평창 월정사 석조보살좌상,
50,예산 수덕사 대웅전,
51,영암 도갑사 해탈문,
52,강릉 임영관 삼문,
53,합천 해인사 장경판전,
54,구례 연곡사 동 승탑,
55,구례 연곡사 북 승탑,
56,보은 법주사 팔상전,
57,순천 송광사 국사전,
58,화순 쌍봉사 철감선사탑,
