kor,hanja
광배,光背
대좌,臺座
안상,眼象
왕,王
정유산,鄭惟産
안민후,安民厚
백토,白土
대자보전,大慈寶殿
미륵전,彌勒殿
팔,八
안양사,安養寺
대좌,臺座
서방,西方
백토,白土
광명등,光明燈
화사석,火舍石
매병,梅甁
송,宋
공신도감,功臣都監
개국원종공신,開國原從功臣
결,結
근작,謹作
운,韻
광배,光背
삼존불,三尊佛
보관,寶冠
광배,光背
배,舟
대좌,臺座
불감,佛龕
광배,光背
관,冠
관,冠
비색,翡色
완형,盌形
은입사,銀入絲
범자,梵字
범자,梵字
시,詩
충무,忠武
기단,基壇
탑신,塔身
전탑,塼塔
감실,龕室
관,冠
천의,天衣
대좌,臺座
광배,光背
광배,光背
불신,佛身
대좌,臺座
대좌,臺座
광배,光背
보주형,寶珠形
관,冠
광배,光背
배,舟
대좌,臺座
광배,光背
배,舟
대좌,臺座
관,冠
삼산반가사유상,三山半跏思惟像
대좌,臺座
광배,光背
대좌,臺座
관,冠
광배,光背
삼존불,三尊佛
촉,觸
배,舟
신묘,辛卯
기단,基壇
아,亞
탑신,塔身
아,亞
팔,八
내관,內冠
외관,外冠
출,出
출,出
외관,外冠
관모,冠帽
관,棺
옥,玉
비취옥,玉
부부총,夫婦塚
서역,西域
판,板
삼각모,三角帽
건,巾
공예의장,工藝意匠
정병,淨甁
은입사,銀入絲
은판,銀板
입사기법,入絲技法
도공,陶工
인종,仁宗
황통,皇統
구형,球形
수구,水口
왕,王
빙렬,氷裂
기단,基壇
탑신,塔身
개국사,開國寺
기단부,基壇部
탑신부,塔身部
왕,王
정유산,鄭惟産
안민후,安民厚
선,禪
대선사,大禪師
국사,國師
기단,基壇
탑신,塔身
십,十
비천상,飛天像
광명등,光明燈
화사석,火舍石
선,禪
기단,基壇
안상,眼象
안상,眼象
탑신,塔身
천왕상,四天王像
기단,基壇
탑신,塔身
부중상,八部衆像
비상,碑像
대좌,臺座
청화,靑華
진사,辰砂
서광암,瑞光庵
삼존불,三尊佛
대좌,臺座
천불,千佛
대좌,臺座
관,冠
찬,贊
평정건,平頂巾
기단,基壇
탑신,塔身
백토,白土
백토,白土
대좌,臺座
광배,光背
불신,佛身
삼산관,三山冠
대좌,臺座
광배,光背
동사,東寺
천불,千佛
문양띠,上帶
삼존상,三尊像
띠,下帶
윗띠,上帶
진전,陳田
기단,基壇
탑신,塔身
천인상,天人像
부신중,八部神衆
향류,香類
백호,白毫
보관,寶冠
삼도,三道
시유골호,施釉骨壺
어자문,魚子文
선각,線刻
관,冠
정병,淨甁
대좌,臺座
관,冠
정병,淨甁
대좌,臺座
대좌,臺座
관,冠
천의,天衣
기단,基壇
탑신,塔身
감실,龕室
세계,世系
광배,光背
불신,佛身
대좌,臺座
관,冠
배,舟
기단,基壇
의기용,儀器用
내구,內區
중구,中區
외구,外區
운,韻
대좌,臺座
광배,光背
산형,山形
다로,茶爐
호정방,胡庭芳
사기,史記
한서,漢書
오대,五代
정사,正史
당서,唐書
계미자,癸未字
오대,五代
정사,正史
계미자,字
교편,校編
교편,校編
명신,名臣
시정,施政
표문,表文
전문,牋文
계미자,癸未字
사관,史官
사초,史草
시정기,時政記
승정원일기,承政院日記
일성록,日省錄
사고,史庫
안의,安義
손홍록,孫弘錄
병화,兵火
정본,正本
장정,裝幀
조선왕조실록,朝鮮王朝實錄
태조,太祖
철종,哲宗
사고,史庫
이왕가도서지장,李王家圖書之章
조선왕조실록,朝鮮王朝實錄
태조,太祖
철종,哲宗
편년,編年
사고,史庫
봉모당,奉謨堂
어제어필,御製御筆
선원록,璿源錄
국조보감,國朝寶鑑
봉모당인,奉謨堂印
어람용,御覽用
조선왕조실록,朝鮮王朝實錄
태조,太祖
철종,哲宗
편년,編年
성종대왕실록,成宗大王實錄
묘호,廟號
사고,史庫
중간본,重刊本
비변사,備邊司
비국,備局
비국등록,備局謄錄
승정원일기,承政院日記
일성록,日省錄
정조,正祖
세손,世孫
증자,曾子
시정,施政
일성록,日省錄
왕관,王冠
지석,誌石
관,冠
투조,透彫
관,冠
지석,誌石
타출법,打出法
석수,石獸
칠,朱述
어룡,魚龍
보요,步搖
농담,濃淡
수지법,樹枝法
묘지,墓誌
김윤,金潤
묘지,墓誌
대좌,臺座
매병,梅甁
태,胎
태,胎
인화문,印花文
박지기법,剝地技法
송백,松柏
장말익,張末翼
홍패,紅牌
백패,白牌
대좌,臺座
관,冠
광배,光背
관,冠
정병,淨甁
광배,光背
대좌,臺座
촉,觸
구마라습,鳩摩羅什
변상도,變相圖
대좌,臺座
광배,光背
봉감,鳳甘
모전석탑,模塼石塔
기단,基壇
탑신,塔身
감실,龕室
관,冠
관,棺
판,板
관,管
직립,直立
